%time,field.time_from_start,field.base.pose.position.x,field.base.pose.position.y,field.base.pose.position.z,field.base.pose.orientation.x,field.base.pose.orientation.y,field.base.pose.orientation.z,field.base.pose.orientation.w,field.base.twist.linear.x,field.base.twist.linear.y,field.base.twist.linear.z,field.base.twist.angular.x,field.base.twist.angular.y,field.base.twist.angular.z,field.base.accel.linear.x,field.base.accel.linear.y,field.base.accel.linear.z,field.base.accel.angular.x,field.base.accel.angular.y,field.base.accel.angular.z,field.ee_motion0.pos.x,field.ee_motion0.pos.y,field.ee_motion0.pos.z,field.ee_motion0.vel.x,field.ee_motion0.vel.y,field.ee_motion0.vel.z,field.ee_motion0.acc.x,field.ee_motion0.acc.y,field.ee_motion0.acc.z,field.ee_motion1.pos.x,field.ee_motion1.pos.y,field.ee_motion1.pos.z,field.ee_motion1.vel.x,field.ee_motion1.vel.y,field.ee_motion1.vel.z,field.ee_motion1.acc.x,field.ee_motion1.acc.y,field.ee_motion1.acc.z,field.ee_motion2.pos.x,field.ee_motion2.pos.y,field.ee_motion2.pos.z,field.ee_motion2.vel.x,field.ee_motion2.vel.y,field.ee_motion2.vel.z,field.ee_motion2.acc.x,field.ee_motion2.acc.y,field.ee_motion2.acc.z,field.ee_motion3.pos.x,field.ee_motion3.pos.y,field.ee_motion3.pos.z,field.ee_motion3.vel.x,field.ee_motion3.vel.y,field.ee_motion3.vel.z,field.ee_motion3.acc.x,field.ee_motion3.acc.y,field.ee_motion3.acc.z,field.ee_forces0.x,field.ee_forces0.y,field.ee_forces0.z,field.ee_forces1.x,field.ee_forces1.y,field.ee_forces1.z,field.ee_forces2.x,field.ee_forces2.y,field.ee_forces2.z,field.ee_forces3.x,field.ee_forces3.y,field.ee_forces3.z,field.ee_contact0,field.ee_contact1,field.ee_contact2,field.ee_contact3
25001000,24999999,1.74766520692e-05,-0.000386789387948,0.469886407948,0.000336214259837,-4.08511762216e-05,6.44893148882e-05,0.999999940566,0.00222455371549,-0.0449044705619,-0.0130468688827,0.078083479772,-0.00923482031984,0.0148657590826,0.198341171989,-3.35071668626,-0.950281140513,5.82944340626,-0.647343772363,1.09158651639,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-10.8934982454,17.8045632254,1343.72252193,-2.04565470948,30.8189251446,-622.832425353,9.6772118032,43.8108824807,-2098.11762554,16.0588521769,-25.9719373025,1316.07697819,1,1,1,1
27501000,27499999,2.36851992212e-05,-0.000509791298546,0.469850752829,0.000443162301529,-5.34248417321e-05,8.4817865689e-05,0.999999896779,0.00275335004187,-0.0536034454799,-0.0155039695285,0.0932189024892,-0.010897242656,0.0176922674961,0.224899657856,-3.60604683852,-1.01446469243,6.27472439699,-0.681658223187,1.16865568271,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-11.9705430258,20.3284587896,1542.34704745,-1.9683490207,35.1034803809,-721.154777866,8.33322658182,44.1112342615,-2190.9834462,19.0520787456,-29.6303755643,1518.62116113,1,1,1,1
30001000,29999999,3.13000060121e-05,-0.000655323450604,0.469808760227,0.000569712347055,-6.8127267943e-05,0.000108796853388,0.999999829475,0.00335007084851,-0.0629226227066,-0.0181145189263,0.10943625056,-0.012638421714,0.0207042200131,0.252680756207,-3.84687853326,-1.07304014214,6.69498393859,-0.710345040853,1.23994382747,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-13.0380781668,22.8063682878,1740.22603205,-1.86845626222,39.443424155,-820.555011548,6.78057565067,43.8059147936,-2264.40439889,22.0991144134,-33.306497732,1723.56408396,1,1,1,1
32501000,32499999,4.04947043067e-05,-0.000824891042216,0.469760064044,0.000717177709415,-8.50481183033e-05,0.000136648997637,0.999999729875,0.00401777266664,-0.0728257560982,-0.0208644968207,0.126672972062,-0.014444258064,0.0238871787293,0.281684467043,-4.07321177047,-1.12600748965,7.09022332099,-0.733380151121,1.30546243519,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-14.0765971048,25.1884560972,1933.93760769,-1.74411349035,43.7941243121,-919.935477732,5.03609139791,42.9236114005,-2319.10601368,25.1597122573,-36.9427442931,1927.96612104,1,1,1,1
35001000,35000000,5.14505672976e-05,-0.00101990865611,0.469704333236,0.000886793513077,-0.000104259403937,0.000168578964135,0.999999587154,0.00475951202746,-0.083276599511,-0.0237398829561,0.144866517744,-0.0163005937995,0.0272267325638,0.311910790365,-4.28504655017,-1.17336673495,7.46044338071,-0.750740919478,1.36522143135,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-15.0665932764,27.4248865948,2120.05990632,-1.59345776135,48.1109486974,-1018.19852775,3.1166062117,41.4930114058,-2355.81382059,28.1936253541,-40.4815557351,2128.88764671,1,1,1,1
37501000,37500000,6.43565095056e-05,-0.00124170025967,0.469641271806,0.00107971669601,-0.000125815415293,0.000204773388896,0.999999388225,0.0055783454622,-0.0942389068011,-0.0267266570769,0.163954339816,-0.0181932166694,0.030708493009,0.343359726171,-4.48238287234,-1.21511787804,7.80564444168,-0.762406572496,1.41922890557,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-15.9885601181,29.4658241573,2295.17105991,-1.41462613151,52.3492651562,-1114.24651295,1.03895248019,39.542802133,-2375.25334968,31.1606067807,-43.8653725456,2323.38903532,1,1,1,1
40001000,40000000,7.94090867795e-05,-0.0014914992049,0.469570618811,0.00129702600987,-0.000149752659952,0.000245400895609,0.999999117538,0.00647732950206,-0.105676431825,-0.0298107989277,0.183873890603,-0.020107865224,0.0343180892263,0.376031274462,-4.66522073699,-1.25126091892,8.12582626356,-0.768358586927,1.46749086462,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-16.8229910665,31.261433162,2455.8492004,-1.20575565711,56.4644415336,-1206.98178465,-1.18003740844,37.1016709058,-2378.150131,34.020409614,-47.0366352121,2508.53066123,1,1,1,1
42501000,42500000,9.68124962961e-05,-0.00177044822845,0.469492148355,0.00153972201821,-0.000176089807836,0.000290612105235,0.999998756896,0.00745952067825,-0.117552928438,-0.032978288253,0.204562621078,-0.0220302348934,0.0380411625608,0.409925435239,-4.83356014412,-1.28179585761,8.42098799764,-0.768581046535,1.51001101497,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-17.5503795582,32.7618779857,2598.67245977,-0.964983394436,60.411845675,-1295.30669419,-3.52353106603,34.1983050477,-2365.22969459,36.7327869309,-49.9377842223,2681.37289878,1,1,1,1
45001000,45000000,0.00011677857656,-0.00207959945163,0.469405669597,0.00180872709242,-0.000204827644977,0.000340539637047,0.999998285291,0.00852797552199,-0.129832150497,-0.0362151047973,0.225957979292,-0.0239459849175,0.0418633605497,0.4450422085,-4.98740109373,-1.30672269408,8.69112815028,-0.763060966698,1.54679057517,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-18.1512190296,33.9173230055,2720.21896996,-0.690446399766,64.1468454255,-1378.1235929,-5.97469610444,30.8613918822,-2337.2175705,39.2574918084,-52.5112600636,2838.97612234,1,1,1,1
47501000,47500000,0.000139526807405,-0.00241991438036,0.469311026742,0.00210488540546,-0.000235949036888,0.000395298100465,0.99999767876,0.00968575056449,-0.142477851859,-0.0395072283049,0.247997408725,-0.0258407460466,0.0457703304991,0.481381594246,-5.12674358582,-1.32604142835,8.93624455423,-0.751788586749,1.57782811781,0.33,0.15,-3.42641028878e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,1.10402771591e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,-4.57366750919e-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-1.67122965438e-18,0.0,0.0,0.0,0.0,0.0,0.0,-18.6060029173,34.6779325982,2817.06686294,-0.380281729383,67.6248086304,-1454.33483212,-8.51670013548,27.1196187329,-2294.83928877,41.5542773232,-54.6995032236,2978.40070625,1,1,1,1
