%time,field.time_from_start,field.base.pose.position.x,field.base.pose.position.y,field.base.pose.position.z,field.base.pose.orientation.x,field.base.pose.orientation.y,field.base.pose.orientation.z,field.base.pose.orientation.w,field.base.twist.linear.x,field.base.twist.linear.y,field.base.twist.linear.z,field.base.twist.angular.x,field.base.twist.angular.y,field.base.twist.angular.z,field.base.accel.linear.x,field.base.accel.linear.y,field.base.accel.linear.z,field.base.accel.angular.x,field.base.accel.angular.y,field.base.accel.angular.z,field.ee_motion0.pos.x,field.ee_motion0.pos.y,field.ee_motion0.pos.z,field.ee_motion0.vel.x,field.ee_motion0.vel.y,field.ee_motion0.vel.z,field.ee_motion0.acc.x,field.ee_motion0.acc.y,field.ee_motion0.acc.z,field.ee_motion1.pos.x,field.ee_motion1.pos.y,field.ee_motion1.pos.z,field.ee_motion1.vel.x,field.ee_motion1.vel.y,field.ee_motion1.vel.z,field.ee_motion1.acc.x,field.ee_motion1.acc.y,field.ee_motion1.acc.z,field.ee_motion2.pos.x,field.ee_motion2.pos.y,field.ee_motion2.pos.z,field.ee_motion2.vel.x,field.ee_motion2.vel.y,field.ee_motion2.vel.z,field.ee_motion2.acc.x,field.ee_motion2.acc.y,field.ee_motion2.acc.z,field.ee_motion3.pos.x,field.ee_motion3.pos.y,field.ee_motion3.pos.z,field.ee_motion3.vel.x,field.ee_motion3.vel.y,field.ee_motion3.vel.z,field.ee_motion3.acc.x,field.ee_motion3.acc.y,field.ee_motion3.acc.z,field.ee_forces0.x,field.ee_forces0.y,field.ee_forces0.z,field.ee_forces1.x,field.ee_forces1.y,field.ee_forces1.z,field.ee_forces2.x,field.ee_forces2.y,field.ee_forces2.z,field.ee_forces3.x,field.ee_forces3.y,field.ee_forces3.z,field.ee_contact0,field.ee_contact1,field.ee_contact2,field.ee_contact3
1000,0,-9.52603726242e-16,-9.15199929357e-16,0.47,1.42600685115e-17,-2.59138280747e-17,-1.60247767084e-17,1.0,-1.65045463928e-16,-2.29488167055e-16,-1.74816919269e-16,6.50289401085e-18,-1.69160033599e-17,-5.01178577464e-19,-4.40329438115e-18,7.54691701153e-18,2.81131313145e-17,-4.86982348862e-19,-7.60903703707e-19,2.94601311017e-19,0.33,0.15,-1.16498531934e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,3.50013878405e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,2.63313578634e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-6.81664418596e-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.293067787928,-0.0428447398718,75.6837586375,0.271380881399,0.038775175986,53.2246556125,0.284114747379,0.0121140602042,53.2246556125,-0.26242784085,-0.00804449631842,75.6837586375,1,1,1,1
2501000,2500000,1.10786534635e-08,2.69114276619e-09,0.469999808164,7.9615892155e-09,-3.73502796449e-08,-2.33427523291e-08,1.0,1.32821663917e-05,3.23114477916e-06,-0.000229441026025,1.89605762274e-05,-8.92877424923e-05,-5.58337816046e-05,0.0106061828608,0.00258775160116,-0.182334010676,0.0149328787756,-0.0708655085897,-0.0443649064178,0.33,0.15,-1.16498531934e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,3.50013878405e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,2.63313578634e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-6.81664418596e-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.289268040085,-0.0400338398608,75.5972449189,0.292984606538,0.0612624009819,51.3526728589,0.312662212279,0.0435785229716,51.3554453416,-0.256531046978,-0.00117132628701,75.5573083266,1,1,1,1
5001000,5000000,8.83848562198e-08,2.156459576e-08,0.46999848055,6.22203082205e-08,-2.95272956669e-07,-1.84853770087e-07,1.0,5.29331630404e-05,1.29529368938e-05,-0.00090557600266,7.34864191556e-05,-0.000351504129079,-0.000220313916781,0.0210950642055,0.00519251786821,-0.357355160488,0.0284521820665,-0.138342921666,-0.086917072676,0.33,0.15,-1.16498531934e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,3.50013878405e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,2.63313578634e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-6.81664418596e-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.27695072576,-0.0371724119118,75.4843145615,0.3158260558,0.0849671346575,49.5595976565,0.342392636578,0.0759879216506,49.5660243662,-0.239305741484,0.0103616560431,75.4379088116,1,1,1,1
7501000,7500000,2.97474115721e-07,7.29001472352e-08,0.469994923275,2.05023908843e-07,-9.84634961638e-07,-6.17508549647e-07,0.999999999999,0.000118659736156,2.92079130084e-05,-0.00201012277775,0.000160043286365,-0.000778178981789,-0.000488908458444,0.0314666440341,0.00781429880115,-0.525063449437,0.0405576402887,-0.202432292705,-0.127656413836,0.33,0.15,-1.16498531934e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,3.50013878405e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,2.63313578634e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-6.81664418596e-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.256546596302,-0.0343025741302,75.3471009002,0.33985468269,0.109823858135,47.8443936171,0.373253550749,0.109269523705,47.8553356082,-0.211332927216,0.0262453448113,75.3263000461,1,1,1,1
10001000,10000000,7.03168805896e-07,1.73083928023e-07,0.469988088161,4.74201837481e-07,-2.30571560291e-06,-1.44861749512e-06,0.999999999996,0.000210168631948,5.20386097878e-05,-0.00352479919913,0.000275096073962,-0.00136084228852,-0.000857085196866,0.0417209223467,0.0104530944,-0.685458877523,0.0512488386496,-0.263133699336,-0.166582807339,0.33,0.15,-1.16498531934e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,3.50013878405e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,2.63313578634e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-6.81664418596e-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.228486403061,-0.0314664446216,75.1877372702,0.365019940709,0.135767052537,46.2060243524,0.405192485266,0.1433505966,46.2223219893,-0.173193607023,0.0461706341569,75.2232219834,1,1,1,1
12501000,12500000,1.3695581662e-06,3.38608410615e-07,0.469976972739,9.03163942665e-07,-4.44820681263e-06,-2.79982553122e-06,0.999999999986,0.000327166596626,8.14875638966e-05,-0.00543132311464,0.000415108489016,-0.00209102425172,-0.00132031158481,0.0518578991431,0.0131089046647,-0.838541444745,0.0605252452906,-0.320447234075,-0.203696108176,0.33,0.15,-1.16498531934e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,3.50013878405e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,2.63313578634e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-6.81664418596e-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.193200897388,-0.0287061414916,75.0083570065,0.391271283361,0.162731198985,44.6434534739,0.438156970603,0.178158407798,44.6659264311,-0.125468783756,0.069828418219,75.1294145771,1,1,1,1
15001000,15000000,2.3599983016e-06,5.86072409168e-07,0.469960620241,1.52089881322e-06,-7.59121344459e-06,-4.78711163846e-06,0.999999999959,0.0004693603764,0.000117597312,-0.00771141237213,0.000576542790672,-0.00296025531463,-0.00187405469927,0.0618775744235,0.0157817295953,-0.984311151104,0.0683862380851,-0.374372995634,-0.238996163008,0.33,0.15,-1.16498531934e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,3.50013878405e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,2.63313578634e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-6.81664418596e-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.151120830631,-0.0260637828457,74.8110934441,0.418558164149,0.190650778602,43.1556445936,0.472094537234,0.213620224765,43.1850918553,-0.0687394602619,0.0969095911371,75.0456177807,1,1,1,1
17501000,17500000,3.73711218262e-06,9.32181079496e-07,0.469938119608,2.35197182974e-06,-1.19032535985e-05,-7.52078835222e-06,0.999999999898,0.00063645671748,0.000160410390762,-0.0103467848194,0.000755859596578,-0.00396006616647,-0.00251378123721,0.0717799481878,0.0184715691919,-1.1227679966,0.0748311300913,-0.424911080767,-0.272482823241,0.33,0.15,-1.16498531934e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,3.50013878405e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,2.63313578634e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-6.81664418596e-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.102676954141,-0.0235814867896,74.5980799182,0.446830036576,0.21946027251,41.7415613229,0.506952715632,0.249663314963,41.7787611837,-0.00358663939098,0.12710504705,74.9725715476,1,1,1,1
20001000,20000000,5.56278964527e-06,1.39374591908e-06,0.469908605483,3.41652300781e-06,-1.75422589472e-05,-1.11055012642e-05,0.999999999779,0.000828162366076,0.000209969336847,-0.0133191583044,0.000949517751259,-0.00508198772792,-0.00323495754268,0.081565020436,0.0211784234543,-1.25391198123,0.0798591936617,-0.47206157669,-0.304155957049,0.33,0.15,-1.16498531934e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,3.50013878405e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,2.63313578634e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-6.81664418596e-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.0483000192689,-0.0213013714288,74.3714497639,0.476036354146,0.24909416183,40.4001672738,0.542679036271,0.286214945858,40.445877338,0.0694086760079,0.160105680098,74.9110158313,1,1,1,1
22501000,22500000,7.8981873911e-06,1.98768476706e-06,0.469871258217,4.73026470732e-06,-2.46555750439e-05,-1.56402285615e-05,0.999999999563,0.0010441840684,0.000266316686921,-0.0166102506749,0.0011539742531,-0.00631755111843,-0.00403304966266,0.0912327911682,0.0239022923826,-1.377743105,0.0834696832085,-0.515824554051,-0.334015460357,0.33,0.15,-1.16498531934e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.15,3.50013878405e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.15,2.63313578634e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.15,-6.81664418596e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0115792226366,-0.0192655548688,74.1333363161,0.506126570361,0.279486927686,39.1304260578,0.579221029625,0.323202384913,39.1853832398,0.149665483086,0.19560238442,74.8616905852,1,1,1,1
